delta,s0,s1
0.11690549886549156,0.2956794723500492,0.4125849712155408
0.11617050823224656,0.34800572487114384,0.4641762331033904
0.13709437186042012,0.30649931660874336,0.44359368846916347
0.1257866832603191,0.31941537040078083,0.44520205366109994
0.16944183263279744,0.2776718723000234,0.4471137049328208
0.1374028921948076,0.2547310806522744,0.392133972847082
0.12808020815967075,0.2976685184667096,0.42574872662638036
0.12689937180587357,0.3228024150225141,0.4497017868283877
0.14473024592157135,0.30678221129812094,0.4515124572196923
0.1267932925644309,0.293153537854129,0.4199468304185599
0.11263222896349684,0.303269437800714,0.41590166676421086
0.17425712402319438,0.2724857364138932,0.44674286043708755
0.19720559456954073,0.2935597542638053,0.49076534883334605
0.1363802629342475,0.28738397096647095,0.42376423390071843
0.1369100202130527,0.2995135320344872,0.4364235522475399
0.16162390156793643,0.30997626976250786,0.4716001713304443
0.17498792438860328,0.2859563810534057,0.460944305442009
0.13704102322056944,0.304201693242759,0.4412427164633284
0.15252161737061604,0.280182092886946,0.43270371025756205
0.17409925838279539,0.2800697540943959,0.45416901247719127
0.17596771783927462,0.2648011592927124,0.44076887713198704
0.17046914411581787,0.25618009778127454,0.4266492418970924
0.19801429845626967,0.26090319993479916,0.4589174983910688
0.16791886328474864,0.29971309467223495,0.4676319579569836
0.17456575103258937,0.2698136054626836,0.444379356495273
0.13635550522477363,0.2921339836924955,0.4284894889172691
0.16747621859189443,0.2843669902095746,0.45184320880146905
0.16849311825953006,0.28168949860627257,0.45018261686580263
0.16239619601337962,0.3032576937080091,0.4656538897213887
0.10137775860688247,0.3249344059701901,0.42631216457707255
0.11797676334043683,0.3227981754127849,0.4407749387532217
0.09175419530731094,0.32522690021945827,0.4169810955267692
0.17596428442273698,0.2870715916059399,0.4630358760286769
0.12333150365660012,0.29721412019094257,0.4205456238475427
0.21419753288444673,0.24787569685809738,0.4620732297425441
0.14255753917246988,0.2979794630888121,0.440537002261282
0.17518279350440863,0.2755047972818296,0.4506875907862382
0.16654980726417407,0.26247509379836287,0.42902490106253693
0.14129187684978367,0.29348933165121494,0.4347812085009986
0.2239043047670806,0.24363192975636486,0.46753623452344545
0.2056296500278102,0.27245908062428803,0.4780887306520982
0.1995718337375837,0.28087044750405743,0.4804422812416411
0.12924229689203898,0.3164432390167476,0.44568553590878657
0.18655742815547077,0.2518087632307687,0.43836619138623945
0.1940499512106204,0.2578585375086844,0.45190848871930483
0.12950053364613356,0.3041151239801159,0.4336156576262495
0.1508781383922197,0.2525771764929483,0.403455314885168
0.1427812083114205,0.31462580984896804,0.45740701816038853
0.14524217809276618,0.30210602987621327,0.44734820796897945
0.15291667995773905,0.2847624104144084,0.4376790903721475
0.17366127296092027,0.23682490664249356,0.4104861796034138
0.1294135354770598,0.2819471642900858,0.4113606997671456
0.11175599226153954,0.30635440604645275,0.4181103983079923
0.16571861558750253,0.24633281543402566,0.4120514310215282
0.17690643752721918,0.2726106649955494,0.4495171025227686
0.1539113614525599,0.2723755905924209,0.4262869520449808
0.14445257932712352,0.2951629886556474,0.4396155679827709
0.18485367331139085,0.24600335438522508,0.43085702769661594
0.13336033923089785,0.3117771125056376,0.44513745173653546
0.14157807268367495,0.3170038339389343,0.4585819066226092
0.18385377409252085,0.2659481896021304,0.44980196369465125
0.12865370686568695,0.30881223236529387,0.4374659392309808
