delta,s0,s1
0.15627907235667338,0.32500929257402755,0.48128836493070093
0.10626702397512583,0.34168457706776406,0.4479516010428899
0.12128620210654456,0.31786727170463336,0.4391534738111779
0.14678215244487097,0.32012669123022536,0.46690884367509633
0.06477169486019152,0.3639811801805091,0.42875287504070064
0.14700750881180324,0.29126632817016085,0.4382738369819641
0.1049281913765599,0.375668089404269,0.4805962807808289
0.07339225826217904,0.37603590935733927,0.4494281676195183
0.1337053250514249,0.3380468543518423,0.4717521794032672
0.09259280895845651,0.3351038663955693,0.42769667535402583
0.10698466833190401,0.3586939183732238,0.4656785867051278
0.13428771503733805,0.3505915707337741,0.48487928577111217
0.0753570718606526,0.33545634831899857,0.41081342017965117
0.1294187472821947,0.3477385317935827,0.47715727907577743
0.1499417866758076,0.2984761056591606,0.4484178923349682
0.12606723628017297,0.32472568364642346,0.4507929199265964
0.11538091194793132,0.35088934141214256,0.4662702533600739
0.11613819176598145,0.3053185897865687,0.4214567815525501
0.1295984239730345,0.3161530170659937,0.4457514410390282
0.09844319272487256,0.3493621600190285,0.44780535274390104
0.12423107091048052,0.3247322220528245,0.448963292963305
0.16724621797729272,0.30983923213960185,0.47708545011689457
0.08582563036315749,0.3508276811047301,0.4366533114678876
0.11229608911864852,0.3144978850164951,0.42679397413514364
0.12335809419540217,0.3399942112407473,0.46335230543614947
0.0773084447566117,0.3360561924174982,0.4133646371741099
0.08164989835723419,0.35235057103328316,0.43400046939051734
0.1039058762400496,0.3340013867331416,0.4379072629731912
0.1432530031975754,0.3378551605124622,0.4811081637100376
0.11864583462435102,0.33481520361126205,0.45346103823561307
0.1504431965161414,0.3116053127019893,0.46204850921813073
0.1634128244899632,0.28445247189459094,0.44786529638455413
0.11636489206211942,0.34314860893892785,0.45951350100104726
0.12120944343648593,0.3384004955025605,0.45960993893904645
0.12336746180661196,0.3262077664329334,0.4495752282395454
0.11583599473013606,0.31572605833065714,0.4315620530607932
0.11281079650699971,0.32561685028780774,0.43842764679480745
0.1369052964096834,0.32649199911060556,0.46339729552028897
0.09521649778722141,0.3458528587035563,0.4410693564907777
0.13836687410144421,0.30996912425226375,0.44833599835370797
0.1416737512082174,0.3017746377502524,0.4434483889584698
0.0993960340435242,0.34371834027677106,0.44311437432029527
0.12125887467508883,0.31685498540600443,0.43811386008109326
0.06317551896133372,0.34937025105258573,0.41254577001391946
0.10156494248709619,0.30659459977601544,0.40815954226311163
0.10464109378801173,0.33317817724133153,0.43781927102934326
0.1014079745385364,0.3128862853055804,0.4142942598441168
0.10778370325347036,0.32776719072277993,0.4355508939762503
0.13576834777656382,0.31058824792073403,0.44635659569729785
0.13017386888437416,0.32042044239443923,0.4505943112788134
0.08731574317801799,0.3215897930049201,0.40890553618293807
0.11396047635385481,0.33729971994604746,0.45126019629990227
0.1542942952161357,0.30461893457550115,0.45891322979163685
0.1540484712874916,0.3357820423935134,0.489830513681005
0.08342903676116381,0.35731534214865984,0.44074437890982365
0.16819072823147968,0.3188807030344912,0.48707143126597086
0.07804796645949447,0.35244917603032994,0.4304971424898244
0.13068076074034907,0.34975820549612235,0.4804389662364714
0.12219838571853503,0.3046521642259311,0.42685054994446614
0.11615379428231032,0.31628960989903404,0.43244340418134436
0.13594100412427895,0.32710576246314566,0.4630467665874246
0.1292393588931719,0.30391857389741034,0.43315793279058223
0.09400719689712267,0.3381532871985572,0.43216048409567986
0.08097138674727056,0.35990215280143256,0.4408735395487031
0.11497760114197392,0.33989332603175676,0.4548709271737307
0.05602510439641911,0.353522239321968,0.40954734371838714
0.12031310552350771,0.3073230020211438,0.42763610754465153
0.1113961728459063,0.3410756037558461,0.4524717766017524
0.09116802642493288,0.3643525927714172,0.45552061919635006
0.15891062108556636,0.3471828787662367,0.5060934998518031
0.10964425474329614,0.3403670698313607,0.45001132457465687
0.047350264655432184,0.37954890096965094,0.4268991656250831
0.0765455842102874,0.35918314791939715,0.43572873212968455
0.15599855939747054,0.3420030769444248,0.4980016363418953
0.15731430890008735,0.2919193717236376,0.44923368062372493
0.1178327730023514,0.3158532322006972,0.4336860052030486
0.13292693558323565,0.2829320971761448,0.41585903275938046
0.11869693069521864,0.33300144211023663,0.4516983728054553
0.14331438332104562,0.3224871138698897,0.46580149719093533
0.1315724865397001,0.31564465333962866,0.44721713987932876
0.11170484171303446,0.32827366108262096,0.4399785027956554
0.1423842063594578,0.30801519245811365,0.45039939881757146
0.11981089688786956,0.3447278440861843,0.46453874097405384
0.11287041671584996,0.337026819458724,0.44989723617457394
0.1223435716568721,0.2974303445332456,0.4197739161901177
0.10936113361288624,0.3197768279998318,0.42913796161271806
0.11495683574217436,0.3330547223138124,0.44801155805598675
0.15515928117561834,0.27770656053676906,0.4328658417123874
0.10398674156664761,0.3416585789698705,0.4456453205365181
0.15166181658580957,0.3072154954199819,0.45887731200579146
0.13482252017718904,0.31375136133749665,0.4485738815146857
0.10334914001049295,0.3242589236085569,0.42760806361904985
0.15761739356821647,0.29761688034426154,0.455234273912478
0.14993149246616033,0.3081156573642724,0.4580471498304327
0.15927523120870563,0.3149498868061927,0.4742251180148983
0.09810119815619783,0.3404373851634621,0.43853858331965995
